TIMESTAMP,POWER,U10,V10,U100,V100
20150101 00:00,NA,NA,NA,NA,NA
20150101 01:00,NA,6.2410199999999998,3.49613,9.7370699999999992,4.7849199999999996
20150101 02:00,NA,5.6223400000000003,4.0623899999999997,8.9449699999999996,5.7176799999999997
20150101 03:00,0.66669263097057296,5.9953099999999999,4.8933400000000002,9.5214300000000005,6.9909400000000002
20150101 04:00,NA,6.9080899999999996,4.7909899999999999,10.6328,6.7541700000000002
20150101 05:00,NA,6.95268,4.8320400000000001,10.700799999999999,6.74193
20150101 06:00,0.93750062049092397,6.1786500000000002,5.7027700000000001,9.7349099999999993,8.0973100000000002
20150101 07:00,NA,7.63436,4.7641499999999999,11.731299999999999,6.6051900000000003
20150101 08:00,NA,7.3268599999999999,5.98271,11.288399999999999,8.4699200000000001
20150101 09:00,0.93500203491145195,7.39201,5.6600999999999999,11.2158,8.1072900000000008
20150101 10:00,NA,7.8101700000000003,5.2247399999999997,11.808999999999999,7.3273200000000003
20150101 11:00,NA,7.6927300000000001,5.6768900000000002,11.645200000000001,7.9765300000000003
20150101 12:00,0.91294031386581298,7.83819,5.5167799999999998,12.567500000000001,8.2585300000000004
20150101 13:00,NA,8.29697,5.8402200000000004,12.537599999999999,8.2401400000000002
20150101 14:00,NA,7.7520699999999998,6.5330899999999996,11.8392,9.2908100000000005
20150101 15:00,0.97108009658748895,7.3761599999999996,7.3986799999999997,11.3248,10.6524
20150101 16:00,NA,7.0587900000000001,7.9215499999999999,10.8749,11.3864
20150101 17:00,NA,8.0286500000000007,8.1497700000000002,12.2661,11.6433
20150101 18:00,0.91237860907135304,7.9139600000000003,8.4645600000000005,12.181900000000001,12.172499999999999
20150101 19:00,NA,8.2869399999999995,8.6870499999999993,12.7362,12.455399999999999
20150101 20:00,NA,8.0687200000000008,9.0889100000000003,12.5878,13.059799999999999
20150101 21:00,0.99127822902086005,8.7926699999999993,8.9136699999999998,13.527799999999999,12.8895
20150101 22:00,NA,8.8725400000000008,9.1454799999999992,13.6472,13.1076
20150101 23:00,NA,9.7847200000000001,9.3612699999999993,14.978899999999999,13.4863
20150102 00:00,0.99532310007795699,10.418900000000001,9.0852199999999996,15.9472,13.0802
20150102 01:00,NA,10.592700000000001,9.0526700000000009,16.292999999999999,13.1
20150102 02:00,NA,11.4251,8.3197799999999997,17.502400000000002,11.909000000000001
20150102 03:00,0.99311984569319001,12.661099999999999,6.9142400000000004,19.192299999999999,9.7819900000000004
20150102 04:00,NA,13.1297,5.8540900000000002,19.716100000000001,8.22377
20150102 05:00,NA,13.544700000000001,2.9862799999999998,19.963100000000001,4.1927000000000003
20150102 06:00,0.99583012618536004,13.394399999999999,1.6944699999999999,19.7516,1.9719199999999999
20150102 07:00,NA,15.6465,-0.24129,22.760899999999999,-0.81369800000000003
20150102 08:00,NA,13.4216,-2.6042399999999999,19.566299999999998,-4.0657500000000004
20150102 09:00,0.98726773196307605,13.235900000000001,-1.9745299999999999,19.174700000000001,-3.2501799999999998
20150102 10:00,NA,13.6502,-1.89612,19.714500000000001,-3.0726
20150102 11:00,NA,13.539099999999999,-2.4478599999999999,19.5212,-3.79549
20150102 12:00,0.99543187743352701,13.4156,-2.0880999999999998,19.2226,-3.2237300000000002
20150102 13:00,NA,13.209199999999999,-1.75603,18.925599999999999,-2.8578000000000001
